FLY_GENE1	FLY_GENE2	REFERENCE	DATE_LAST_UPDATED	DATA_VERSION	REFERENCEURL	SYMBOL_BD	SYMBOL_AD	INTERACTION_TYPE	INTERACTION_DETECT_METHODS
FBgn0001168	FBgn0264270	FBrf0051358	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0051358.html	h	Sxl	gg	
FBgn0001320	FBgn0001323	"FBrf0132397, FBrf0155705"	20-Nov-15	2015_12	"http://flybase.net/reports/FBrf0132397.html, http://flybase.net/reports/FBrf0155705.html"	kni	knrl	gg	
FBgn0003205	FBgn0016647	FBrf0087493	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0087493.html	Ras85D	ER3-5	gg	
FBgn0001168	FBgn0002561	"FBrf0101998, FBrf0058096"	20-Nov-15	2015_12	"http://flybase.net/reports/FBrf0101998.html, http://flybase.net/reports/FBrf0058096.html"	h	l(1)sc	gg	
FBgn0000636	FBgn0003391	FBrf0123026	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0123026.html	Fas3	shg	gg	
FBgn0000463	FBgn0010027	FBrf0057610	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0057610.html	Dl	E(Dl)F167	gg	
FBgn0000405	FBgn0000826	FBrf0138402	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0138402.html	CycB	png	gg	
FBgn0004198	FBgn0026401	FBrf0109032	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0109032.html	ct	Nipped-B	gg	
FBgn0003731	FBgn0267975	FBrf0107292	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0107292.html	Egfr	vib	gg	
FBgn0003117	FBgn0266450	FBrf0147055	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0147055.html	pnr	Kr-h1	gg	
FBgn0001987	FBgn0004647	FBrf0128367	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0128367.html	Gli	N	gg	
FBgn0002932	FBgn0004647	FBrf0134543	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0134543.html	neur	N	gg	
FBgn0003042	FBgn0266557	"FBrf0098246, FBrf0048952"	20-Nov-15	2015_12	"http://flybase.net/reports/FBrf0098246.html, http://flybase.net/reports/FBrf0048952.html"	Pc	kis	gg	
FBgn0000017	FBgn0021760	FBrf0179303	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0179303.html	Abl	chb	gg	
FBgn0039283	FBgn0039286	FBrf0161494	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0161494.html	danr	dan	gg	
FBgn0002413	FBgn0016797	FBrf0191849	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0191849.html	dco	fz2	gg	
FBgn0003391	FBgn0259685	FBrf0123026	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0123026.html	shg	crb	gg	
FBgn0000635	FBgn0002723	FBrf0158888	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0158888.html	Fas2	Met	gg	
FBgn0005592	FBgn0010333	FBrf0192599	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0192599.html	btl	Rac1	gg	
FBgn0003733	FBgn0014044	FBrf0058535	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0058535.html	tor	Su(tor)2-180	gg	
FBgn0003117	FBgn0062676	FBrf0147055	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0147055.html	pnr	EP2419	gg	
FBgn0003285	FBgn0044071	FBrf0130106	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0130106.html	rst	E(rst)K137	gg	
FBgn0038167	FBgn0260934	"FBrf0155316, FBrf0155501"	20-Nov-15	2015_12	"http://flybase.net/reports/FBrf0155316.html, http://flybase.net/reports/FBrf0155501.html"	Lkb1	par-1	gg	
FBgn0015946	FBgn0023143	FBrf0200069	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0200069.html	grim	Uba1	gg	
FBgn0003205	FBgn0027932	FBrf0131317	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0131317.html	Ras85D	Akap200	gg	
FBgn0011603	FBgn0264255	FBrf0144970	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0144970.html	ine	para	gg	
FBgn0000166	FBgn0002962	FBrf0076033	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0076033.html	bcd	nos	gg	
FBgn0003042	FBgn0003330	FBrf0079925	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0079925.html	Pc	Sce	gg	
FBgn0002526	FBgn0264089	FBrf0190142	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0190142.html	LanA	sli	gg	
FBgn0003444	FBgn0083250	"FBrf0188527, FBrf0188528"	20-Nov-15	2015_12	"http://flybase.net/reports/FBrf0188527.html, http://flybase.net/reports/FBrf0188528.html"	smo	E(smoDN)N	gg	
FBgn0003731	FBgn0027053	FBrf0151933	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0151933.html	Egfr	CSN5	gg	
FBgn0004050	FBgn0004170	FBrf0091060	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0091060.html	z	sc	gg	
FBgn0004647	FBgn0010303	FBrf0108309	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0108309.html	N	hep	gg	
FBgn0003079	FBgn0040332	FBrf0125429	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0125429.html	Raf	EY2-5	gg	
FBgn0010350	FBgn0030670	FBrf0193795	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0193795.html	CdsA	Pis	gg	
FBgn0003285	FBgn0044085	FBrf0130106	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0130106.html	rst	E(rst)H122	gg	
FBgn0003731	FBgn0011715	FBrf0174517	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0174517.html	Egfr	Snr1	gg	
FBgn0005592	FBgn0020299	FBrf0105885	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0105885.html	btl	stumps	gg	
FBgn0003944	FBgn0029123	FBrf0194303	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0194303.html	Ubx	SoxN	gg	
FBgn0004050	FBgn0004198	FBrf0090696	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0090696.html	z	ct	gg	
FBgn0015024	FBgn0015946	FBrf0190751	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0190751.html	CkIë±	grim	gg	
FBgn0003175	FBgn0004956	FBrf0167623	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0167623.html	px	upd1	gg	
FBgn0000490	FBgn0263930	FBrf0099288	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0099288.html	dpp	dally	gg	
FBgn0019660	FBgn0019661	FBrf0144850	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0144850.html	roX2	roX1	gg	
FBgn0004647	FBgn0036285	FBrf0167947	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0167947.html	N	toe	gg	
FBgn0000117	FBgn0004569	FBrf0123026	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0123026.html	arm	aos	gg	
FBgn0003079	FBgn0262733	FBrf0129944	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0129944.html	Raf	Src64B	gg	
FBgn0004618	FBgn0011829	FBrf0190765	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0190765.html	gl	Ret	gg	
FBgn0003482	FBgn0004367	FBrf0162153	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0162153.html	spn-D	mei-41	gg	
FBgn0002781	FBgn0004198	FBrf0050555	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0050555.html	mod(mdg4)	ct	gg	
FBgn0023172	FBgn0069442	FBrf0167640	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0167640.html	RhoGEF2	E(zip)12-5	gg	
FBgn0004635	FBgn0260003	FBrf0076146	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0076146.html	rho	Dys	gg	
FBgn0010382	FBgn0261456	FBrf0161987	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0161987.html	CycE	hpo	gg	
FBgn0020278	FBgn0025631	FBrf0189922	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0189922.html	loco	moody	gg	
FBgn0019804	FBgn0043590	FBrf0131405	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0131405.html	ksr::tor	EK2-5	gg	
FBgn0000404	FBgn0010382	"FBrf0103367, FBrf0195204"	20-Nov-15	2015_12	"http://flybase.net/reports/FBrf0103367.html, http://flybase.net/reports/FBrf0195204.html"	CycA	CycE	gg	
FBgn0000463	FBgn0011715	FBrf0174517	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0174517.html	Dl	Snr1	gg	
FBgn0000346	FBgn0266464	FBrf0135807	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0135807.html	comt	Nsf2	gg	
FBgn0026350	FBgn0267821	FBrf0107280	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0107280.html	Su(da<up>lyh</up>)22C1	da	gg	
FBgn0003515	FBgn0005004	FBrf0047729	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0047729.html	st	dcm	gg	
FBgn0004644	FBgn0024283	FBrf0101264	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0101264.html	hh	Su(hh)3A	gg	
FBgn0026404	FBgn0262447	FBrf0158821	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0158821.html	Dronc	mir-14	gg	
FBgn0002573	FBgn0086205	FBrf0194654	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0194654.html	sens	S(ls)7	gg	
FBgn0003396	FBgn0003716	"FBrf0102634, FBrf0089932, FBrf0084399"	20-Nov-15	2015_12	"http://flybase.net/reports/FBrf0102634.html, http://flybase.net/reports/FBrf0089932.html, http://flybase.net/reports/FBrf0084399.html"	shn	tkv	gg	
FBgn0011706	FBgn0243512	FBrf0190751	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0190751.html	rpr	puc	gg	
FBgn0000499	FBgn0063920	FBrf0149026	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0149026.html	dsh	M(UAS-dsh)8-4	gg	
FBgn0000439	FBgn0004859	FBrf0105823	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0105823.html	Dfd	ci	gg	
FBgn0002404	FBgn0004872	FBrf0167655	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0167655.html	l(3)99De	piwi	gg	
FBgn0003205	FBgn0052179	FBrf0151286	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0151286.html	Ras85D	Krn	gg	
FBgn0002948	FBgn0003545	FBrf0147060	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0147060.html	nod	sub	gg	
FBgn0002603	FBgn0003300	FBrf0086390	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0086390.html	M(2)53	run	gg	
FBgn0004861	FBgn0033636	FBrf0141543	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0141543.html	ph-p	tou	gg	
FBgn0044873	FBgn0086384	FBrf0136951	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0136951.html	E(Mer)IIb	Mer	gg	
FBgn0001169	FBgn0014388	FBrf0190751	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0190751.html	H	sty	gg	
FBgn0000237	FBgn0266098	FBrf0149022	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0149022.html	bul	rg	gg	
FBgn0003118	FBgn0051774	FBrf0158849	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0158849.html	pnt	fred	gg	
